Theta	E
62.109045	1862.568250
62.109045	1804.597250
62.109045	1770.614250
62.109045	1862.740560
62.109045	1810.947882
62.109045	1767.709472
57.171421	1871.563750
57.171421	1792.603250
57.171421	1871.685012
57.171421	1826.883939
92.475302	1798.600250
92.475302	1846.576250
92.475302	1646.676250
92.475302	1706.646250
92.475302	1798.855467
92.475302	1844.739145
92.475302	1645.538975
92.475302	1694.078566
55.567893	1874.562250
55.567893	1872.740996
63.098956	1861.568750
63.098956	1802.598250
63.098956	1768.615250
63.098956	1920.539250
63.098956	1861.639866
63.098956	1800.953501
63.098956	1766.769568
63.098956	1910.938102
143.180219	1746.626250
143.180219	1475.761750
143.180219	1495.751750
143.180219	1604.697250
143.180219	1585.706750
143.180219	1748.811068
143.180219	1463.212981
143.180219	1486.175746
143.180219	1592.242431
143.180219	1577.912556
61.099908	1863.567750
61.099908	1805.596750
61.099908	1771.613750
61.099908	1863.800040
61.099908	1813.939604
61.099908	1769.062489
64.063545	1858.570250
64.063545	1798.600250
64.063545	1760.619250
115.469948	1800.599250
115.469948	1575.711750
115.469948	1668.665250
115.469948	1799.472737
115.469948	1577.792514
115.469948	1672.482080
56.554007	1872.563250
56.554007	1871.181180
158.999675	1741.628750
158.999675	1456.771250
158.999675	1576.711250
158.999675	1739.789797
158.999675	1460.420817
158.999675	1573.209528
57.797585	1870.564250
57.797585	1810.594250
57.797585	1790.604250
53.321606	1877.560750
53.321606	1877.364152
59.504353	1866.566250
59.504353	1806.596250
59.504353	1783.607750
59.504353	1867.752933
59.504353	1824.760340
59.504353	1045.182394
160.007928	1742.628250
160.007928	1456.771250
160.007928	1576.711250
160.007928	1741.083796
160.007928	1460.424296
160.007928	1576.452300
156.196253	1742.628250
156.196253	1460.769250
156.196253	1579.709750
156.196253	1741.238230
156.196253	1465.707045
156.196253	1579.121932
112.996031	1804.597250
112.996031	1584.707250
112.996031	1748.625250
112.996031	1803.548401
112.996031	1584.694652
112.996031	1677.540205
65.209138	1856.571250
65.209138	1796.601250
65.209138	1755.621750
65.209138	1912.543250
65.209138	1855.857175
65.209138	1782.357867
65.209138	1754.526952
65.209138	1903.724842
70.416308	1845.576750
70.416308	1898.550250
70.416308	1732.633250
70.416308	1845.919467
70.416308	1890.866599
70.416308	1753.743340
148.196906	1735.631750
148.196906	1453.772750
148.196906	1571.713750
148.196906	1735.175948
148.196906	1459.528047
148.196906	1567.929677
157.721207	1742.628250
157.721207	1458.770250
157.721207	1740.809817
157.721207	1463.002032
147.180617	1742.628250
147.180617	1471.763750
147.180617	1583.707750
147.180617	1741.301769
147.180617	1471.104996
147.180617	1578.153327
100.490909	1829.584750
100.490909	1781.608750
100.490909	1625.686750
100.490909	1829.826625
100.490909	1781.160610
100.490909	1652.665223
105.583370	1819.589750
105.583370	1771.613750
105.583370	1607.695750
105.583370	1694.652250
105.583370	1819.719183
105.583370	1772.915050
105.583370	1607.079737
105.583370	1707.257672
98.926609	1834.582250
98.926609	1786.606250
98.926609	1632.683250
98.926609	1684.657250
98.926609	1833.696356
98.926609	1785.657825
98.926609	1630.212489
98.926609	1695.963863
158.499430	1741.628750
158.499430	1459.769750
158.499430	1575.711750
158.499430	1740.488929
158.499430	1462.623207
158.499430	1572.498543
54.465355	1877.560750
54.465355	1802.598250
54.465355	1877.081971
54.465355	1828.866915
109.945501	1811.593750
109.945501	1761.618750
109.945501	1593.702750
109.945501	1682.658250
109.945501	1811.542300
109.945501	1765.106190
109.945501	1594.386557
109.945501	1692.392355
90.240250	1801.598750
90.240250	1848.575250
90.240250	1653.672750
90.240250	1713.642750
90.240250	1802.516141
90.240250	1847.776458
90.240250	1650.202956
90.240250	1698.484260
67.317489	1853.572750
67.317489	1791.603750
67.317489	1750.624250
67.317489	1908.545250
67.317489	1853.604678
67.317489	1103.498973
67.317489	1776.989574
67.317489	1899.574021
75.731176	1834.582250
75.731176	1883.557750
75.731176	1710.644250
75.731176	1834.921111
75.731176	1878.348539
75.731176	1748.872769
118.633641	1795.601750
118.633641	1567.715750
118.633641	1663.667750
118.633641	1795.196200
118.633641	1571.427937
118.633641	1664.666839
111.640508	1806.596250
111.640508	1586.706250
111.640508	1752.623250
111.640508	1678.660250
111.640508	1806.018786
111.640508	1588.769199
111.640508	1762.843329
111.640508	1679.978876
72.537237	1843.577750
72.537237	1894.552250
72.537237	1727.635750
72.537237	1843.460888
72.537237	1886.958019
72.537237	1754.025878
77.136714	1832.583250
77.136714	1881.558750
77.136714	1706.646250
77.136714	1833.002505
77.136714	1876.018243
77.136714	1750.030141
89.162947	1811.593750
89.162947	1856.571250
89.162947	1666.666250
89.162947	1726.636250
89.162947	1811.608373
89.162947	1854.269709
89.162947	1665.847615
89.162947	1712.798321
108.875009	1813.592750
108.875009	1762.618250
108.875009	1598.700250
108.875009	1813.788178
108.875009	1759.933943
108.875009	1612.901180
68.146684	1851.573750
68.146684	1906.546250
68.146684	1744.627250
68.146684	1789.604750
68.146684	1851.773173
68.146684	1898.243980
68.146684	1164.041043
68.146684	1775.307160
70.996082	1844.577250
70.996082	1896.551250
70.996082	1730.634250
70.996082	1779.609750
70.996082	1844.943186
70.996082	1888.586112
70.996082	1217.007334
70.996082	1761.318795
66.450266	1854.572250
66.450266	1909.544750
66.450266	1751.623750
66.450266	1792.603250
122.371601	1789.604750
122.371601	1553.722750
122.371601	1787.842045
122.371601	1556.998385
116.607992	1797.600750
