Theta	E	Eerr
64.753315	2853.552185	0.346141
64.753315	2739.138158	1.827048
64.753315	-62466.441811	34624.292895
163.206746	2585.651974	0.126493
163.206746	2164.586744	0.290251
76.135185	2822.296672	0.232719
73.681551	2831.978065	0.238831
61.654032	2859.316751	0.533768
61.654032	-53528.323004	20813.953272
61.654032	2751.955868	1.813210
120.279593	2694.775800	0.188422
120.279593	2356.992482	0.499489
92.077328	2776.230499	0.164443
92.077328	2528.104492	0.650413
152.791123	2595.518792	0.111469
152.791123	2189.187249	0.294980
152.791123	2362.885995	0.394958
154.108247	2593.904442	0.124369
154.108247	2184.787102	0.284804
154.108247	2358.565550	0.376033
115.326579	2708.680591	0.183733
115.326579	2388.018314	0.572139
117.288555	2703.157318	0.174009
117.288555	2375.589699	0.455928
57.028986	2860.128318	1.207103
57.028986	2780.568612	3.899526
57.028986	2610.633603	15.810694
57.028986	1557.844348	270.938672
57.028986	747.950931	10.175410
118.439562	2701.371025	0.178404
118.439562	2371.527318	0.480487
98.512899	2756.098105	0.160823
98.512899	2488.904276	0.523109
66.385822	2854.613699	0.419122
66.385822	2820.635133	2.696710
66.385822	2719.174404	3.508401
66.385822	-635.885511	1715.109979
66.385822	2530.505729	22.487079
100.123010	2752.296838	0.168924
100.123010	2481.374897	0.682539
72.277682	2840.685317	0.486380
72.277682	2820.125883	1.940147
72.277682	2697.473955	2.520643
59.947273	2848.339018	1.054747
59.947273	2728.869568	3.309030
63.224804	2866.247452	0.444476
63.224804	2827.254359	1.652354
63.224804	2729.517699	2.348037
63.224804	4022.494536	1772.178162
63.224804	584.329625	3.160679
111.914351	2716.189677	0.143227
111.914351	2403.627448	0.503576
111.914351	2538.845898	0.692864
85.063829	2795.470932	0.190152
85.063829	2609.024500	2.005821
146.758623	2594.511625	0.128443
146.758623	2192.387643	0.285755
148.023345	2582.233270	0.163491
148.023345	2187.203147	0.701806
148.023345	2147.652365	0.788298
154.847552	2592.985324	0.145766
154.847552	2182.974018	0.325823
154.847552	2357.341042	0.444473
102.335830	2745.254317	0.167313
102.335830	2463.006379	0.489894
155.681803	2592.079146	0.134134
155.681803	2180.855455	0.318298
74.249390	2827.421521	0.315398
74.249390	2681.538493	3.641142
159.009463	2588.021407	0.119561
159.009463	2171.845171	0.277844
159.009463	2349.541523	0.406667
161.659672	2587.651684	0.121162
161.659672	2168.607324	0.278400
161.659672	2346.607689	0.404993
162.515209	2586.250648	0.157211
162.515209	2166.397479	0.412350
143.327577	2601.826281	0.136142
143.327577	2205.777854	0.321087
143.327577	2375.218084	0.418441
145.554351	2597.543789	0.125205
145.554351	2197.919791	0.296357
145.554351	2367.935969	0.400904
160.163616	2588.428052	0.123914
160.163616	2170.749101	0.282808
160.163616	2348.628998	0.431344
80.046218	2810.735097	0.204492
80.046218	2638.269881	1.923188
113.195496	2714.085858	0.169006
113.195496	2400.544774	0.478349
111.384854	2717.985657	0.238921
111.384854	2409.362020	0.773738
97.844448	2756.228121	0.173151
97.844448	2489.966435	0.706820
97.844448	2602.268080	1.699174
149.889404	2566.850627	0.159633
149.889404	2139.050715	0.349106
149.889404	2320.817790	0.591121
86.556463	2791.582927	0.169391
81.117920	2806.989728	0.191710
81.117920	2629.381263	1.880413
83.795770	2806.358568	0.190402
99.027593	2754.824387	0.226440
156.523470	2590.803126	0.137071
156.523470	2178.440945	0.300201
156.523470	2353.495178	0.428617
105.993058	2734.052808	0.188586
105.993058	2440.029515	0.640238
105.993058	2563.135213	1.296544
93.257544	2776.155945	0.161944
93.257544	2528.506487	0.629154
82.012362	2806.375365	0.200288
72.968546	2833.973863	0.348750
65.371779	2852.589648	0.367707
65.371779	2737.469685	2.393169
65.371779	-41256.827953	30858.563044
88.305821	2791.509411	0.166865
88.305821	2560.777973	0.708378
108.105298	2729.101630	0.175700
108.105298	2430.586218	0.554042
108.105298	2557.588329	0.844146
69.787103	2840.918593	0.254287
69.787103	2714.957116	2.455001
79.479936	2814.979152	0.309064
85.982281	2791.145567	0.258911
85.982281	2592.341066	5.054447
54.786696	2851.051281	0.979715
54.786696	2743.007483	3.788590
54.786696	786.948233	8.686615
54.786696	2427.142148	47.609710
121.576250	2692.111109	0.188599
121.576250	2351.932511	0.464403
90.150184	2781.302368	0.197061
90.150184	2583.530412	2.359755
164.399056	2585.118328	0.174240
164.399056	2163.689998	0.406102
125.407095	2678.497600	0.231286
125.407095	2328.705955	0.656719
125.407095	2478.475935	0.835239
124.280351	2681.186738	0.239462
124.280351	2334.810592	0.596750
124.280351	2484.415113	1.155985
96.990886	2755.940854	0.174401
96.990886	2489.563040	0.614754
96.990886	2596.587728	2.261911
157.959292	2589.135238	0.123934
157.959292	2175.504864	0.285084
157.959292	2351.104550	0.313901
87.367171	2791.395220	0.196698
88.983256	2791.188697	0.206790
88.983256	2560.710373	0.919006
116.084907	2704.183345	0.207468
116.084907	2378.029501	0.592455
103.976262	2742.863754	0.164942
103.976262	2460.020615	0.569775
103.976262	2576.770739	1.186366
147.274099	2589.844070	0.184099
147.274099	2186.659793	0.594058
147.274099	2360.033823	0.956108
77.897603	2819.915476	0.234553
83.013412	2806.541051	0.207812
160.883255	2587.759945	0.177471
160.883255	2168.407876	0.409083
160.883255	2347.302130	0.581030
107.346671	2730.797115	0.205813
107.346671	2432.171348	0.637179
94.897791	2770.951475	0.209268
94.897791	2519.944678	0.876054
67.696443	2848.651738	0.310699
67.696443	2722.036273	2.072011
109.820062	2725.052012	0.156819
109.820062	2422.504449	0.586467
109.820062	2548.939567	1.219402
75.005189	2832.749477	0.981531
75.005189	2681.931178	4.544689
75.005189	2815.487086	2.348019
78.962811	2820.590293	0.299573
78.962811	2674.348740	6.345663
93.928427	2776.191026	0.196198
93.928427	2529.442310	0.757577
157.389390	2590.727770	0.152875
157.389390	2177.222051	0.463428
157.389390	2353.707010	0.591052
144.847670	2598.778522	0.153300
144.847670	2200.750316	0.363277
76.792167	2820.702753	0.286486
68.502509	2848.017390	0.297551
68.502509	2728.426206	2.348611
153.364751	2594.243546	0.229503
153.364751	2187.936309	0.566459
69.158362	2844.622284	0.480788
69.158362	491.643861	223.181923
69.158362	2747.101269	9.401598
69.158362	2353.454699	160.397377
64.136707	2863.952084	0.567657
64.136707	2821.724697	2.579068
64.136707	2730.835218	4.571752
64.136707	-13426.286267	4554.054490
102.961870	2744.963784	0.208914
102.961870	2463.902871	0.672005
71.143756	2837.448467	0.242036
71.143756	2709.387890	2.232125
91.397498	2776.257846	0.199330
